titulo,categoria,telefono,direccion,ciudad,rating,cantidad_reviews,url,dominio,place_id,emails,tiene_web_propia,es_cadena,fecha_extraccion
Bodega de Experiencias,Bar,+549112537-6451,"Gorriti 4972, C1414 Cdad. Autónoma de Buenos Aires",Buenos Aires,5.0,286,http://www.bodegadeexperiencias.com.ar/,www.bodegadeexperiencias.com.ar,ChIJXatXiuC1vJURqcrMc5svAzc,,True,False,2025-10-20T19:53:44.082349
Wine Window Argentina (Palermo Soho),Wine bar,+549117227-1002,"Gorriti 4882, C1414 Cdad. Autónoma de Buenos Aires",Buenos Aires,5.0,251,https://www.wine-window.com/,www.wine-window.com,ChIJMTW6XOy1vJURhwA8tpXWV0M,"1002info@wine-window.com, hello@miramontewinery.com, info@wine-window.com",True,False,2025-10-20T19:53:48.769281
Puny - Pasta & Grill,Restaurante,+54112246-4521,"Av. Corrientes 1269, C1043 Cdad. Autónoma de Buenos Aires, Argentina",Cdad. Autónoma de Buenos Aires,4.9,33252,,,ChIJo-2LVIzLvJURlCJpJvE5Ls8,,False,False,2025-10-20T19:53:51.809460
La Capitana - Bodegón y Vermutería,Restaurante,+54112395-3956,"Guardia Vieja 4446, C1192 Cdad. Autónoma de Buenos Aires",Cdad. Autónoma de Buenos Aires,4.9,5681,https://www.lacapitana.ar/,www.lacapitana.ar,ChIJfUyT5mjLvJURSApdj14eOhI,,True,False,2025-10-20T19:53:53.311331
Rita Specialty Coffee V. Obligado,Coffee shop,,"Vuelta de Obligado 1183, C1426DUD C1426DUD, Cdad. Autónoma de Buenos Aires",C1426DUD,4.9,3441,,,ChIJ1QTTbAC1vJURW5lNcww3BqY,,False,False,2025-10-20T19:53:56.064817
Primero - Café de especialidad,Coffee shop,,"Thames 1176, C1414DCX Villa Crespo, Cdad. Autónoma de Buenos Aires",Villa Crespo,4.9,1530,,,ChIJYX_saQC1vJURENdHJd4KAHI,,False,False,2025-10-20T19:53:57.567292
Cerveza Patagonia - Refugio Puerto Madero,Bar,+54113074-2192,"Av. Alicia Moreau de Justo 1010, C1107 Cdad. Autónoma de Buenos Aires, Argentina",Buenos Aires,4.9,1097,https://www.cervezapatagonia.com.ar/,www.cervezapatagonia.com.ar,ChIJh7pESb81o5URYY3dUSH4L2U,,True,False,2025-10-20T19:53:59.072267
LUDLOW coffee house,Coffee shop,,"Fitz Roy 2353, C1425FVE C1425FVE, Cdad. Autónoma de Buenos Aires",C1425FVE,4.9,776,,,ChIJCxmlvSq1vJURe6_sMxc8GqQ,,False,False,2025-10-20T19:54:00.691974
Miicakes - Endulzate,Coffee shop,+54115051-6561,"Juan Piñeiro 342, B1826GQB Lanús, Provincia de Buenos Aires",Lanús,4.9,656,http://www.miicakes.com/,www.miicakes.com,ChIJ8ezUyBjNvJURnC2I5WQU4y4,,True,False,2025-10-20T19:54:02.194488
Moksha Café Studio,Espresso bar,+54112573-2589,"Fitz Roy 1962, C1414 Cdad. Autónoma de Buenos Aires",Buenos Aires,4.9,655,https://www.mokshadeli.com.ar/,www.mokshadeli.com.ar,ChIJSwVcdgC1vJURMN5rRNvh1aE,,True,False,2025-10-20T19:54:05.198681
Casa Jaguar Sports Bar,Sports bar,,"Venezuela 649, C1095 Cdad. Autónoma de Buenos Aires",Buenos Aires,4.9,516,https://www.viajerohostels.com/es/destinos-argentina/buenos-aires/,www.viajerohostels.com,ChIJf3s_TWzLvJURQR0CWUV_4Uk,"buenosaires@viajerohostels.com, marketing@viajerohostels.com",True,False,2025-10-20T19:54:08.340875
La Previa de Irala,Sports bar,,"Irala 40, C1165 Cdad. Autónoma de Buenos Aires",Buenos Aires,4.9,410,https://instagram.com/hernanlapreviairala?igshid=MzRlODBiNWFlZA==,instagram.com,ChIJ3eIHoWQ1o5URjVKuXeWO8p0,,False,False,2025-10-20T19:54:11.238087
