titulo,tipo,categoria,descripcion,telefono,direccion,rating,cantidad_reviews,url,nivel_precio,quality_score,verificado,estado_actual,latitud,longitud
Sarkis,Restaurante,Armenian restaurant,"Celebrated eatery serving Armenian favorites in a large, informal space with sidewalk seating.",5491147724911.0,"Thames 1101, C1414DCW Cdad. Autónoma de Buenos Aires",4.6,28018,https://instagram.com/restaurantesarkis?igshid=1muwpf21lofr5,moderate,47.106935400117926,True,open,-34.591476799999995,-58.436123599999995
Kansas Grill & Bar,Restaurante,American restaurant,"Kansas es un restaurante de Contemporary American Cuisine, inaugurado en junio de 1999 en San Isidro. Nuestra visión es ofrecer alimentos de calidad en un ambiente placentero con un servicio excelente. Creemos que la base de un buen plato está en la calidad de los ingredientes, por lo que usamos los mejores productos frescos. Además, consideramos la música, la arquitectura y la decoración esenciales para la experiencia gastronómica. Cada local tiene su propio carácter, con especial atención a los materiales y diseño. Nos esforzamos por satisfacer la confianza de nuestros clientes, brindando un servicio rápido y eficiente que supere todas las expectativas.",5491147764100.0,"Av. del Libertador 4625, C1426 Cdad. Autónoma de Buenos Aires",4.4,23724,http://www.kansasgrill.com/,moderate,44.32685234330377,True,close,-34.5655463,-58.4323658
Don Julio,Restaurante,Parrilla,"Destino popular que ofrece filetes clásicos, platos locales y una lista larga de vinos en un ambiente íntimo.",5491148319564.0,"Guatemala 4699, C1425 Cdad. Autónoma de Buenos Aires, Argentina",4.4,17896,https://www.parrilladonjulio.com/,inexpensive,43.0865088720766,True,open,-34.5863164,-58.424268899999994
La Cabrera,Restaurante,Barbecue restaurant,"Easygoing Argentinian restaurant specializing in grilled meats, with wood-lined decor & a terrace.",5491148310325.0,"José A. Cabrera 5127, C1414BGQ Cdad. Autónoma de Buenos Aires, Argentina",4.3,22142,http://lacabrera.com.ar/,inexpensive,43.022689803284095,True,open,-34.589089799999996,-58.4332083
Hierro Parrilla Palermo,Restaurante,Restaurant,"H I E R R O Palermo
Restaurante
Costa Rica 5602, Palermo
En Nordelta somos @hierronordelta",5491128756355.0,"Costa Rica 5602, C1414 Cdad. Autónoma de Buenos Aires, Argentina",4.7,8597,https://hierrocasadefuegos.com/,moderate,42.57863901616427,True,close,-34.5827039,-58.4348812
Dandy Grill,Restaurante,Restaurant,"En el país de la carne, sabemos que lograr distinguirse en una parrilla es un desafío que afrontamos diariamente.
El primer paso para una experiencia memorable comienza con los mejores cortes, pero sólo se completa con la pasión y los trucos de nuestros Grillers.

Te esperamos en nuestro local Palermo para disfrutar la mejor carne, trabajada de la manera perfecta.",5491147764549.0,"Fitz Roy 2199, C1425 Cdad. Autónoma de Buenos Aires",4.6,10277,https://somosdandy.com/,moderate,42.49370045074,True,close,-34.5804936,-58.4319324
Izakaya by Sushi Pop Palermo,Bar,Sushi restaurant,"Ubicado en el corazón de Palermo, con grandes centros gastrónomicos importantes. El local tiene capacidad para más de 100 personas entre el espacio cerrado y nuestra vereda al aire libre. El interior está pensado como un lugar más intimo, para parejas o grupos pequeños, mientras que nuestro entrepiso ofrece un espacio más social, especial para realizar eventos, cumpleaños y after office. El restaurante cuenta además con Delivery y Take Away.
Te esperamos con todo nuestro staff para disfrutar de la Experiencia Izakaya.",5491152725900.0,"Soler 5598, C1425 Cdad. Autónoma de Buenos Aires",4.5,12042,https://www.sushipop.com.ar/,moderate,42.28307485767216,True,open,-34.5810897,-58.4325372
DANDY - Libertador,Restaurante,Restaurant,"Hacemos platos ricos y abundantes con una materia prima de primer nivel, un servicio cordial y amable pero también efectivo y veloz, en un ambiente cálido y de buen gusto. En Dandy amamos lo que hacemos y como estamos orgullosos nuestra cocina es honesta.",5491151257680.0,"Av. del Libertador 2410, C1425 Cdad. Autónoma de Buenos Aires",4.4,14333,https://somosdandy.com/,moderate,42.109714312837006,True,close,-34.579913999999995,-58.405842099999994
Croque Madame,Restaurante,Restaurante,Cafetería relajada en el Museo Nacional de Arte Decorativo con sándwiches y ensaladas.,5491148068639.0,"Av. del Libertador 1902, C1425AAS Cdad. Autónoma de Buenos Aires",4.5,10672,http://www.croquemadame.com.ar/,expensive,41.73962610111284,True,open,-34.5827193,-58.400559599999994
Croque Madame,Cafetería,Restaurante,Cafetería relajada en el Museo Nacional de Arte Decorativo con sándwiches y ensaladas.,5491148068639.0,"Av. del Libertador 1902, C1425AAS Cdad. Autónoma de Buenos Aires",4.5,10672,http://www.croquemadame.com.ar/,expensive,41.73962610111284,True,open,-34.5827193,-58.400559599999994
P E U T E O,Bar,Gay bar,VIDEO BAR HETEROFRIENDLY,5491120583943.0,"Gurruchaga 1867, C1414 Cdad. Autónoma de Buenos Aires, Argentina",4.8,5826,https://www.instagram.com/peuteopalermosoho,moderate,41.61723632228676,True,close,-34.587799499999996,-58.426454
Taburete Comedy Club,Bar,Comedy club,"Ubicado en Plaza Serrano, en el corazón de Palermo, Taburete Comedia abrió sus puertas en Agosto del 2018. Somos uno de los primeros clubes de comedia del país, producido por artistas para fanáticos del stand up y quienes buscan una noche de risas. Nuestra sala climatizada ofrece shows de comediantes de primer nivel, acompañado de tragos premium y comida casera. ¡Reservá tu lugar y no te pierdas de vivir la Experiencia Taburete en el corazón de Palermo Soho!",5491162668228.0,"Thames 1511, C1414 Cdad. Autónoma de Buenos Aires",4.8,5691,https://www.taburetecomedia.com.ar/,,41.50472140420676,True,close,-34.588710899999995,-58.4319521
Rebelión,Restaurante,Restaurant,"Somos un mash up de cocineros, amigues, productores, emprendedores y artistas, colaborando para crear una experiencia rica.",5491128234219.0,"Gurruchaga 1795, C1414 Cdad. Autónoma de Buenos Aires",4.5,7930,https://rebelion.meitre.com/,moderate,40.403404845374936,True,close,-34.5882023,-58.427222699999994
Rebelión,Bar,Restaurant,"Somos un mash up de cocineros, amigues, productores, emprendedores y artistas, colaborando para crear una experiencia rica.",5491128234219.0,"Gurruchaga 1795, C1414 Cdad. Autónoma de Buenos Aires",4.5,7930,https://rebelion.meitre.com/,moderate,40.403404845374936,True,close,-34.5882023,-58.427222699999994
La Mala Pub,Bar,Bar,,5491140333546.0,"Arco 3 y 4, Av. del Libertador 3883, C1425 ABL, Cdad. Autónoma de Buenos Aires, Argentina",4.2,15014,https://www.lamala.com.ar/,moderate,40.39058091775321,True,open,-34.5709011,-58.422129
La Mala Pub,Restaurante,Bar,,5491140333546.0,"Arco 3 y 4, Av. del Libertador 3883, C1425 ABL, Cdad. Autónoma de Buenos Aires, Argentina",4.2,15014,https://www.lamala.com.ar/,moderate,40.39058091775321,True,open,-34.5709011,-58.422129
Bellagamba Restorán Palermo,Restaurante,Restaurante,,,"Armenia 1242, C1414 Cdad. Autónoma de Buenos Aires",4.3,11977,,inexpensive,40.380555725144944,True,close,-34.5924237,-58.4321383
La Mar,Bar,Peruvian restaurant,"Refined option focusing on seasonal seafood, ceviche & small plates in a stylish space with a patio.",5491139559600.0,"Arévalo 2024, C1414 Cdad. Autónoma de Buenos Aires",4.4,9476,https://www.lamarcebicheria.com/buenos-aires/,moderate,40.28914159366886,True,open,-34.578204899999996,-58.4375924
La Mar,Restaurante,Peruvian restaurant,"Refined option focusing on seasonal seafood, ceviche & small plates in a stylish space with a patio.",5491139559600.0,"Arévalo 2024, C1414 Cdad. Autónoma de Buenos Aires",4.4,9476,https://www.lamarcebicheria.com/buenos-aires/,moderate,40.28914159366886,True,open,-34.578204899999996,-58.4375924
Tomate Estación de Sabores,Restaurante,Restaurante,Comida y coctelería de estación,5491172269510.0,"El Salvador 4676, C1414 Cdad. Autónoma de Buenos Aires, Argentina",4.5,7727,http://tomate.com.ar/,,40.28672419151559,True,close,-34.5896507,-58.426967399999995
Dandy Coronel Diaz,Restaurante,Restaurant,,5491122703213.0,"Av. Sta. Fe 3202, C1425 Cdad. Autónoma de Buenos Aires",4.6,6314,https://somosdandy.com/,,40.25314196000912,True,close,-34.589145699999996,-58.410348
Tigre Morado,Restaurante,Peruvian restaurant,"Airy, rustic-chic option with outdoor seating showcasing ceviche, sushi & other traditional dishes.",5491147752927.0,"Honduras 5900, C1414 Cdad. Autónoma de Buenos Aires",4.4,8734,http://www.tigremorado.com/,moderate,39.93041017929989,True,close,-34.5819683,-58.4392922
El Burladero,Restaurante,Spanish restaurant,Cozy restaurant featuring traditional Spanish cuisine amid dark wood furnishings.,5491136912717.0,"Pres. José Evaristo Uriburu 1488, C1425AAN Cdad. Autónoma de Buenos Aires",4.6,5881,http://elburladero.com.ar/,moderate,39.92639974792412,True,close,-34.5913539,-58.397003
Los Chanchitos Parrilla,Restaurante,Argentinian restaurant,"Restaurante Parrilla estilo bodegon
carnes asadas, milanesa, pastas caseras",5491148544030.0,"Av. Angel Gallardo 601, C1414DJG Cdad. Autónoma de Buenos Aires",4.4,8719,,moderate,39.92284787437331,True,close,-34.605519799999996,-58.439608
Rita Specialty Coffee V. Obligado,Cafetería,Coffee shop,Cafetería de Especialidad,,"Vuelta de Obligado 1183, C1426DUD C1426DUD, Cdad. Autónoma de Buenos Aires",4.9,3441,,,39.904659086180274,True,close,-34.567736499999995,-58.447353799999995
El Preferido de Palermo,Restaurante,Restaurant,"El Preferido de Palermo, bodegón desde 1952 convertido en restaurante en 2019, destaca por su propuesta culinaria argentina. Ofrece embutidos caseros, vegetales de estación y clásicos como milanesa, tortilla, canelones, faina, helados artesanales, entre otros platos.",5491147746585.0,"Jorge Luis Borges 2108, C1425 FFD, Cdad. Autónoma de Buenos Aires, Argentina",4.4,8529,http://elpreferido.meitre.com/,moderate,39.8259164181372,True,close,-34.5854749,-58.425411
Minga Parrilla,Restaurante,Restaurant,"Grilled local meats, empanadas & other regional fare with wine & spirits in eclectic surroundings.",5491180310574.0,"Costa Rica 4528, C1414 Cdad. Autónoma de Buenos Aires",4.5,6773,https://linktr.ee/mingaparrilla,moderate,39.69381165019973,True,open,-34.5892583,-58.4255285
Rabieta,Restaurante,Cervecería artesanal,"Gran cervecería ubicada en un edificio lujoso, en la que se ofrecen bocadillos y cervezas artesanales.",,"Av. del Libertador 3949, C1426 Cdad. Autónoma de Buenos Aires",4.2,12351,http://www.rabieta.com.ar/,moderate,39.57060774351115,True,close,-34.569759499999996,-58.4244154
Kefi - Restaurante Griego,Restaurante,Restaurant,"Grecia ofrece al mundo su exquisita gastronomía para disfrutar en buena compañía.
En Kefi te proponemos transportarte a Grecia por un ratito, experimentar sus exclusivos, únicos y auténticos aromas, sus sabores y texturas para descubrir o rememorar así el maravilloso e idílico universo de la comida griega.
Kefi, Restaurante en Palermo. Restaurante Griego.",5491148046111.0,"Humboldt 1920, C1414 Cdad. Autónoma de Buenos Aires",4.7,4393,https://www.instagram.com/kefi.estiatorio/,moderate,39.423577688839416,True,close,-34.5830497,-58.4336078
El Bodegón del Anti,Bar,Restaurante,"EL BODEGÓN DEL ANTI.
Nuestro lugar en el mundo.

Somos un lugar sencillo, familiar e insoslyablemente Argentino.

Con comida simple, de abuela, abundante, para compartir, a buen precio y de mucha calidad.

Una esquina, como cualquier otra esquina, de nuestra querida ciudad de Junín.

Nuestro sueño fue convertirla en un Centro de Cultura Bodegonera para seguir haciendo lo que amamos: difundir y disfrutar de la verdadera Gastronomía Argentina.

Y después de algunos años, gracias a la Comunidad del Anti, ganamos el premio al Mejor Bodegón de la Ciudad.

Los bodegones que tanto amamos tienen 100 años de vida. Hacia allá vamos.

Te esperamos, porque para nosotros...
Todo el año es bodegón.

Salud!",5491151818049.0,"Soler 5901, C1425 Cdad. Autónoma de Buenos Aires",4.6,5209,http://www.antigourmet.com.ar/,inexpensive,39.3683416198381,True,close,-34.5783187,-58.4356125
El Bodegón del Anti,Restaurante,Restaurante,"EL BODEGÓN DEL ANTI.
Nuestro lugar en el mundo.

Somos un lugar sencillo, familiar e insoslyablemente Argentino.

Con comida simple, de abuela, abundante, para compartir, a buen precio y de mucha calidad.

Una esquina, como cualquier otra esquina, de nuestra querida ciudad de Junín.

Nuestro sueño fue convertirla en un Centro de Cultura Bodegonera para seguir haciendo lo que amamos: difundir y disfrutar de la verdadera Gastronomía Argentina.

Y después de algunos años, gracias a la Comunidad del Anti, ganamos el premio al Mejor Bodegón de la Ciudad.

Los bodegones que tanto amamos tienen 100 años de vida. Hacia allá vamos.

Te esperamos, porque para nosotros...
Todo el año es bodegón.

Salud!",5491151818049.0,"Soler 5901, C1425 Cdad. Autónoma de Buenos Aires",4.6,5209,http://www.antigourmet.com.ar/,inexpensive,39.3683416198381,True,close,-34.5783187,-58.4356125
Behind Bar,Bar,Bar,"Behind Bar en Palermo Soho.
Coctelería y tapas.",5491133824933.0,"Costa Rica 4933, C1414 Cdad. Autónoma de Buenos Aires",4.6,5134,https://www.instagram.com/behindpalermo/,,39.30164156286823,True,close,-34.5863873,-58.4293297
SĀNTAL,Cafetería,Cafetería,"Cafetería cálida y bohemia con café, pasteles, sándwiches, tapas, vino y cerveza.",,"Conde 1200, C1426 Cdad. Autónoma de Buenos Aires",4.5,6111,https://www.instagram.com/santalcafe/,moderate,39.231041988808606,True,close,-34.5751462,-58.4559054
Los Bohemios,Restaurante,Restaurant,Bodegón - Restaurante,5491163613810.0,"C1414CSL, Humboldt 540, C1414 Cdad. Autónoma de Buenos Aires",4.4,7390,,moderate,39.195280620253506,True,open,-34.594164,-58.4471077
Malvón,Restaurante,Espresso bar,"Casual cafe bar offering cakes, sandwiches, tapas dishes & weekend brunch, plus coffee, tea & beers.",5491124634103.0,"Serrano 789, C1414DEO Cdad. Autónoma de Buenos Aires",4.2,10844,https://www.malvon.ar/,moderate,39.024129577696094,True,close,-34.5943898,-58.439077899999994
Tomate Estación de Sabores,Restaurante,Restaurant,Comida y cocteleria de estación,5491136607077.0,"Av. Infanta Isabel 555, C1425 Cdad. Autónoma de Buenos Aires",4.7,3939,http://www.tomate.com.ar/,moderate,38.9109992107723,True,open,-34.5691264,-58.4179823
Rey de Copas,Bar,Bar,"Eclectic, art-filled setting for creative cocktails & wines with small plates, pizza & sandwiches.",,"Gorriti 5176, C1414BJT Cdad. Autónoma de Buenos Aires",4.5,5639,http://www.reydecopasbarcultural.com/,moderate,38.86937705021447,True,close,-34.5883593,-58.4329437
Andante - Restaurante Bar,Restaurante,Restaurant,"Andante es un explorador, un trotamundos dispuesto a conocer nuevas culturas, nuevos sabores y nuevos desafíos. Generamos un espacio cálido y desestructurado para compartir en pareja o con amigos. Nuestra cocina de autor se destaca por trabajar fusionando culturas con productos frescos y orgánicos, para generar platos únicos que están en constante evolución. La coctelería se divide en una carta de autor que representa las historias del Andante; y una selección de tragos clásicos del mundo, que recorre cada estilo de coctelería con destilados típicos de cada región.",5491168062589.0,"Arévalo 1677, C1414 Cdad. Autónoma de Buenos Aires",4.7,3838,https://www.instagram.com/andante.restaurante?igsh=MTV5Z3o5cXczZnhmZw==,moderate,38.78894581650375,True,open,-34.581210299999995,-58.4405606
Chuí,Bar,Restaurant,"Chuí es un restaurante vegetariano y vegano ubicado en Villa Crespo, Buenos Aires, reconocido por su ambiente único: un gran jardín selvático y una cocina abierta con hornos a leña. Fundado por cuatro jóvenes emprendedores, el lugar se destaca por su propuesta sin carne, con platos que combinan vegetales, hongos, quesos y fermentados, ideales para compartir. Su menú incluye clásicos como la milanesa de gírgolas y el paté de hongos, y ofrece una cuidada selección de vinos. Chuí es un oasis urbano premiado por la Guía Michelin y muy popular entre locales y visitantes.",,"Loyola 1250, C1414 C1414AVB, Cdad. Autónoma de Buenos Aires",4.5,5394,https://linktr.ee/chui.ba,moderate,38.66952544961505,True,close,-34.5901281,-58.4411172
Chuí,Restaurante,Restaurant,"Chuí es un restaurante vegetariano y vegano ubicado en Villa Crespo, Buenos Aires, reconocido por su ambiente único: un gran jardín selvático y una cocina abierta con hornos a leña. Fundado por cuatro jóvenes emprendedores, el lugar se destaca por su propuesta sin carne, con platos que combinan vegetales, hongos, quesos y fermentados, ideales para compartir. Su menú incluye clásicos como la milanesa de gírgolas y el paté de hongos, y ofrece una cuidada selección de vinos. Chuí es un oasis urbano premiado por la Guía Michelin y muy popular entre locales y visitantes.",,"Loyola 1250, C1414 C1414AVB, Cdad. Autónoma de Buenos Aires",4.5,5394,https://linktr.ee/chui.ba,moderate,38.66952544961505,True,close,-34.5901281,-58.4411172
The Panera Rosa,Restaurante,Brunch restaurant,"En La Panera Rosa, cada plato que ofrecemos es una combinación de vivencias y
experiencias culinarias de nuestro fundador, quien creció entre los aromas y sabores
de la cocina de su madre y su abuela, dos mujeres que sabían transformar ingredientes simples en experiencias memorables.

Algunas de esas recetas, las disfrutaba mientras veía sus dibujos animados favoritos, como La Pantera Rosa. Hoy, queremos compartir ese mismo espíritu con vos, transportándote a esas mañanas y tardes de tu infancia.

En La Panera Rosa los sabores, aromas y texturas se entrelazan para crear
momentos que te transportarán a tu propia historia. Vos, sos La Panera Rosa.",5491145840194.0,"Jorge Luis Borges 1689, C1414DGA Cdad. Autónoma de Buenos Aires, Argentina",4.1,12245,http://www.lapanerarosa.com.ar/,moderate,38.59311399135539,True,open,-34.5881869,-58.4291561
Café San Bernardo,Bar,Bar,CAFÉ - POOL - BILLARES - METEGOL,5491148553956.0,"Av. Corrientes 5436, C1414 Cdad. Autónoma de Buenos Aires",4.3,7874,http://www.cafesanbernardo.com.ar/,moderate,38.57722839388349,True,close,-34.5978135,-58.441098499999995
Dandy Recoleta,Restaurante,Restaurant,,5491122734697.0,"Av. del Libertador 2004, C1425 AAT, Cdad. Autónoma de Buenos Aires",4.5,4969,http://www.somosdandy.com/,moderate,38.30028803590804,True,close,-34.5822231,-58.401806699999995
Taco Factory / Mexican food,Bar,Mexican restaurant,"Desde lo más profundo de la Cultura Mexicana llega para sus paladares una comida auténtica. Hecha por mexicanos para todo el mundo.

No somos un restaurante “tipo mexicano” sino que llevamos a México en la sangre y lo demostramos elaborando para usted nuestra especialidad: tacos, ¡Ricos Tacos!",5491126042528.0,"Gorriti 5062, C1414 Cdad. Autónoma de Buenos Aires",4.1,11250,,moderate,38.24567039954139,True,open,-34.589037499999996,-58.431857699999995
Jerome Palermo,Bar,Bar,"Restaurante y bar pensado para que puedas disfrutar nuestra propuesta gastronómica acompañada de las mejores cervezas artesanales (tradicionales y belgas), una variada carta de cocktails, y vinos (por botella o por copa de diferentes etiquetas y cepas).",5491164723635.0,"Malabia 1401, C1414DMC Cdad. Autónoma de Buenos Aires",4.2,8990,,moderate,38.23671329513605,True,open,-34.592169,-58.4288816
Jerome Palermo,Restaurante,Bar,"Restaurante y bar pensado para que puedas disfrutar nuestra propuesta gastronómica acompañada de las mejores cervezas artesanales (tradicionales y belgas), una variada carta de cocktails, y vinos (por botella o por copa de diferentes etiquetas y cepas).",5491164723635.0,"Malabia 1401, C1414DMC Cdad. Autónoma de Buenos Aires",4.2,8990,,moderate,38.23671329513605,True,open,-34.592169,-58.4288816
The Hole Bar - Alcatraz Speakeasy Hidden Bar,Restaurante,Bar,"Offbeat, Alcatraz-themed venue serving sushi, finger foods & drinks named after notorious inmates.",5491148320143.0,"Armenia 1743, C1414 Cdad. Autónoma de Buenos Aires",4.3,7150,https://theholeba.meitre.com/,moderate,38.1625321900081,True,close,-34.5890902,-58.4266148
The Hole Bar - Alcatraz Speakeasy Hidden Bar,Bar,Bar,"Offbeat, Alcatraz-themed venue serving sushi, finger foods & drinks named after notorious inmates.",5491148320143.0,"Armenia 1743, C1414 Cdad. Autónoma de Buenos Aires",4.3,7150,https://theholeba.meitre.com/,moderate,38.1625321900081,True,close,-34.5890902,-58.4266148
The Oldest,Bar,Restaurant,,5491145510781.0,"Av. Elcano 3410, C1426EJS Cdad. Autónoma de Buenos Aires",4.3,7089,http://www.theoldest.com.ar/,moderate,38.12569466396254,True,close,-34.5758347,-58.459662599999994
The Oldest,Restaurante,Restaurant,,5491145510781.0,"Av. Elcano 3410, C1426EJS Cdad. Autónoma de Buenos Aires",4.3,7089,http://www.theoldest.com.ar/,moderate,38.12569466396254,True,close,-34.5758347,-58.459662599999994
Izakaya by Sushi Pop - Coronel Diaz,Bar,Sushi restaurant,"Porque salir afuera a comer sushi puede ser algo de todos los días, creamos Izakaya.

No importa la altura del mes, ni el día de la semana, a Izakaya vení a disfrutar el mejor Sushi, nuestra selección de tapas y platos gourmet, tragos y cerveza tirada artesanal.

#CulturaIzakaya #BardeSushi #SushiPop",5491152725900.0,"Av. Cnel. Díaz 1426, C1425 Cdad. Autónoma de Buenos Aires",4.4,5762,https://www.sushipop.com.ar/,moderate,38.100539186321335,True,close,-34.5936995,-58.414253599999995
Café Crespín,Restaurante,Restaurant,"Homestyle American dishes served for breakfast, brunch & lunch in an easygoing, light-filled cafe.",5491135966001.0,"Vera 699, C1414 Cdad. Autónoma de Buenos Aires",4.4,5734,http://www.cafecrespin.com.ar/,moderate,38.07910933007928,True,close,-34.5972599,-58.4391629
Uptown,Bar,Bar,"Hip hangout featuring international fare & cocktails, plus a New York subway–themed entrance.",,"Arévalo 2030, C1414CQP Cdad. Autónoma de Buenos Aires",4.2,8631,http://www.uptownba.com/,moderate,38.06557232913948,True,close,-34.5780433,-58.437402299999995
La Torca Palermo,Restaurante,Restaurant,"Auténtico Bodegón Español. Un verdadero Almacén de pescados y mariscos frescos.
Acá se come sin Culpa!",5491148610004.0,"Costa Rica 4001, C1176ADC Cdad. Autónoma de Buenos Aires",4.3,6892,https://www.instagram.com/latorcapalermo/,inexpensive,38.0045252364083,True,open,-34.5913851,-58.419342099999994
Parrilla SecreTiTo,Restaurante,Restaurant,,5491147778351.0,"Av. Dorrego 2720, C1425 Cdad. Autónoma de Buenos Aires",4.5,4639,https://instagram.com/parrisecretito?igshid=YmMyMTA2M2Y=,moderate,37.991113403491354,True,close,-34.5741504,-58.432753
Tabac coffee,Restaurante,Coffee shop,"Warm, wood-paneled eatery with counter-service offering a terrace, baked goods & classic cafe fare.",,"Av. del Libertador 2300, C1425 Cdad. Autónoma de Buenos Aires",4.4,5543,,expensive,37.93007477982685,True,close,-34.580976299999996,-58.404652799999994
Tabac coffee,Bar,Coffee shop,"Warm, wood-paneled eatery with counter-service offering a terrace, baked goods & classic cafe fare.",,"Av. del Libertador 2300, C1425 Cdad. Autónoma de Buenos Aires",4.4,5543,,expensive,37.93007477982685,True,close,-34.580976299999996,-58.404652799999994
Tabac coffee,Cafetería,Coffee shop,"Warm, wood-paneled eatery with counter-service offering a terrace, baked goods & classic cafe fare.",,"Av. del Libertador 2300, C1425 Cdad. Autónoma de Buenos Aires",4.4,5543,,expensive,37.93007477982685,True,close,-34.580976299999996,-58.404652799999994
Salgado Alimentos,Restaurante,Restaurant,Relaxed restaurant serving stuffed pasta & other Italian fare in a compact spot that has a patio.,5491148541336.0,"Juan Ramírez de Velasco 401, C1414 Cdad. Autónoma de Buenos Aires",4.3,6697,http://www.salgadoalimentos.com/,moderate,37.881126289422845,True,close,-34.5990489,-58.4359257
BrukBar Buenos Aires,Restaurante,Cocktail bar,"Bustling gathering place serving signature cocktails, finger foods & sandwiches.",,"Fray Justo Sta. María de Oro 1801, C1414 Cdad. Autónoma de Buenos Aires, Argentina",4.6,3718,http://www.brukbar.com.ar/,moderate,37.817566432055315,True,open,-34.5859398,-58.430134599999995
BrukBar Buenos Aires,Bar,Cocktail bar,"Bustling gathering place serving signature cocktails, finger foods & sandwiches.",,"Fray Justo Sta. María de Oro 1801, C1414 Cdad. Autónoma de Buenos Aires, Argentina",4.6,3718,http://www.brukbar.com.ar/,moderate,37.817566432055315,True,open,-34.5859398,-58.430134599999995
The Nikkei Cause,Restaurante,Restaurant,"Cada plato que servimos es un homenaje a la cultura nikkei fusionada con la peruana.
Exploramos las raíces de cada receta, desenterrando historias y secretos culinarios transmitidos de generación en generación.",,"Av. Cerviño 3550, C1425AGR Cdad. Autónoma de Buenos Aires",4.5,4449,http://www.lacausanikkei.com/,moderate,37.80296718822129,True,open,-34.5802335,-58.4091221
The Nikkei Cause,Bar,Restaurant,"Cada plato que servimos es un homenaje a la cultura nikkei fusionada con la peruana.
Exploramos las raíces de cada receta, desenterrando historias y secretos culinarios transmitidos de generación en generación.",,"Av. Cerviño 3550, C1425AGR Cdad. Autónoma de Buenos Aires",4.5,4449,http://www.lacausanikkei.com/,moderate,37.80296718822129,True,open,-34.5802335,-58.4091221
Lo de Carlitos,Restaurante,Restaurant,,5491148325539.0,"Charcas 3702, C1425 BMZ, Cdad. Autónoma de Buenos Aires",4.3,6471,http://lodecarlitos.com/,moderate,37.733533972574804,True,close,-34.5881347,-58.4173177
Mirutaki,Restaurante,Japanese restaurant,"Low-key restaurant specialized in sushi, sashimi & ramen, plus other typical Japanese dishes.",,"Ángel Justiniano Carranza 2339, C1425 Cdad. Autónoma de Buenos Aires",4.6,3650,https://www.facebook.com/mirutaki/,inexpensive,37.73267935561593,True,close,-34.5776241,-58.4325179
PANI Palermo Soho,Cafetería,Coffee shop,"No sólo es un restaurant, un bar, un café, o un deli. PANI, es una Experiencia. Recibimos a nuestros clientes con alegría y generamos un entorno genial, para pasar tiempo con amigos, trabajar, escuchar música, encontrar cosas lindas y divertidas; y sobre todo… COMER MUY RICO!",5491148332156.0,"El Salvador 4827, 1414 Cdad. Autónoma de Buenos Aires",4.3,6417,http://www.pani.com.ar/,expensive,37.69750583318015,True,close,-34.5883775,-58.4283264
PANI Palermo Soho,Restaurante,Coffee shop,"No sólo es un restaurant, un bar, un café, o un deli. PANI, es una Experiencia. Recibimos a nuestros clientes con alegría y generamos un entorno genial, para pasar tiempo con amigos, trabajar, escuchar música, encontrar cosas lindas y divertidas; y sobre todo… COMER MUY RICO!",5491148332156.0,"El Salvador 4827, 1414 Cdad. Autónoma de Buenos Aires",4.3,6417,http://www.pani.com.ar/,expensive,37.69750583318015,True,close,-34.5883775,-58.4283264
Niño Gordo,Restaurante,Southeast Asian restaurant,"Lively, colorful restaurant & bar serving classic Asian fusion dishes with an Argentinian twist.",5491125563091.0,"Thames 1810, C1414DDL C1414DDL, Cdad. Autónoma de Buenos Aires",4.3,6348,,moderate,37.651026176432936,True,close,-34.586464,-58.4289625
Mooi Rosedal,Restaurante,Restaurant,,5491147750947.0,"Av. Infanta Isabel 110, C1425 Cdad. Autónoma de Buenos Aires",4.5,4176,https://www.instagram.com/arcosdelrosedal/,moderate,37.51806854023729,True,open,-34.569957699999996,-58.4211265
Cuervo Café,Cafetería,Cafe,"Café de especialidad, apasionados por el café, el servicio y el momento en el que ambos se unen.",,"El Salvador 4580, C1414 Cdad. Autónoma de Buenos Aires",4.6,3477,http://www.cuervocafe.com/,moderate,37.50937839660545,True,close,-34.5903849,-58.4258604
NACHA Tex-Mex (Palermo),Restaurante,Restaurant,Restaurante de comida Tex-Mex. The Best Burritos in Town,5491166993082.0,"Fitz Roy 1988, C1414 Cdad. Autónoma de Buenos Aires",4.7,2919,https://www.instagram.com/nachatexmex/profilecard/?igsh=czJuaGdvYWI4ZHJp,inexpensive,37.50289280773294,True,close,-34.5817771,-58.4338116
La Dorita,Restaurante,Steak house,,5491147765653.0,"Humboldt 1892, C1414 Cdad. Autónoma de Buenos Aires",4.2,7526,https://www.facebook.com/LaDoritaOnline/,moderate,37.49025770714504,True,open,-34.583416,-58.4339351
Kajue Café,Cafetería,Cafe,"Café de especialidad con opciones de desayunos, brunch, almuezos, menú del día, postres y todas las opciones de cafetería.",5491125440989.0,"Guatemala 4665, C1425 Cdad. Autónoma de Buenos Aires",4.7,2911,https://www.instagram.com/kajuecafe/,moderate,37.48999842378791,True,close,-34.5864365,-58.4241482
Dársena,Bar,Cocktail bar,"Busy alfresco hangout featuring shipping containers serving bar snacks, cocktails & craft beer.",,"José A. Cabrera 4354, C1414 Cdad. Autónoma de Buenos Aires",4.2,7521,https://www.darsena.com.ar/,moderate,37.487466823927186,True,close,-34.5946808,-58.4260112
